Iteration,Steps,Time (ms),Rewards,Steps,Time (ms),Rewards,Steps,Time (ms),Rewards,,,,,,,,,,,,,Iteration,Steps,Time (ms),Rewards,Step,Time (ms),Rewards,Steps,Time (ms),Rewards
1,576,26,-474,1031,28,-929,33,50,69,,,,,,,,,,,,,5,38930,187,-38828,461148,295,-461046,2047,260,-1945
2,70,3,32,28,5,74,25,7,77,,,,,,,,,,,,,10,16402,96,-16300,51742,163,-51640,2369,263,-2267
3,11,4,91,37,5,65,44,13,58,,,,,,,,,,,,,15,45558,113,-45456,70685,201,-70583,524,141,-422
4,13,5,89,15,5,87,25,13,77,,,,,,,,,,,,,20,62,200,40,69389,271,-69287,354,118,-252
5,9,11,93,11,5,91,17,13,85,,,,,,,,,,,,,25,58,175,44,159,335,-57,272,148,-170
6,12,5,90,15,8,87,15,5,87,,,,,,,,,,,,,30,66,207,36,62,386,40,588,105,-486
7,14,5,88,9,10,93,28,3,74,,,,,,,,,,,,,35,75,253,27,50,463,52,416,105,-314
8,11,7,91,12,11,90,32,6,70,,,,,,,,,,,,,40,60,294,42,59,485,43,571,122,-469
9,11,6,91,10,15,92,18,5,84,,,,,,,,,,,,,45,60,311,42,70,726,32,415,107,-313
10,9,7,93,12,8,90,10,6,92,,,,,,,,,,,,,50,56,515,46,60,672,42,360,100,-258
11,9,6,93,10,9,92,10,6,92,,,,,,,,,,,,,55,75,487,27,56,763,46,289,160,-187
12,11,6,91,9,12,93,10,4,92,,,,,,,,,,,,,60,75,402,27,71,722,31,423,131,-321
13,12,9,90,9,11,93,12,7,90,,,,,,,,,,,,,65,69,460,33,70,848,32,591,134,-489
14,14,13,88,11,17,91,15,8,87,,,,,,,,,,,,,70,68,465,34,70,941,32,185,147,-83
15,11,16,91,13,24,89,22,8,80,,,,,,,,,,,,,75,63,509,39,63,930,39,154,191,-52
16,11,12,91,14,20,88,11,9,91,,,,,,,,,,,,,80,66,560,36,56,1069,46,233,144,-131
17,11,16,91,10,18,92,43,18,59,,,,,,,,,,,,,85,62,590,40,64,1142,38,264,136,-162
18,12,8,90,9,14,93,10,7,92,,,,,,,,,,,,,90,60,590,42,56,1002,46,190,143,-88
